;trial_number;first_item;second_item;congruent;direction;start;end;trial_id;result;valid;reason;duration
0;0;speech;tablet;False;left;2024-03-20 10:51:30.531568289;2024-03-20 10:51:34.534154653;0;False;False;overtime;1970-01-01 00:00:04.000498295
1;1;speech;gesture;True;left;2024-03-20 10:51:39.200758696;2024-03-20 10:51:43.204579592;1;False;False;overtime;1970-01-01 00:00:04.000799894
2;2;speech;tablet;True;right;2024-03-20 10:51:47.879491568;2024-03-20 10:51:51.881254196;2;False;False;overtime;1970-01-01 00:00:04.000399113
3;3;speech;tablet;True;left;2024-03-20 10:51:56.542651415;2024-03-20 10:52:00.544464111;3;False;False;overtime;1970-01-01 00:00:04.000813007
4;4;speech;gesture;True;right;2024-03-20 10:52:05.211804390;2024-03-20 10:52:09.213933229;4;False;False;overtime;1970-01-01 00:00:04.000364542
5;5;speech;tablet;True;left;2024-03-20 10:52:13.871412039;2024-03-20 10:52:17.873089314;5;False;False;overtime;1970-01-01 00:00:04.000120401
6;6;tablet;gesture;True;right;2024-03-20 10:52:22.555300713;2024-03-20 10:52:26.557973385;6;False;False;overtime;1970-01-01 00:00:04.001157522
7;7;speech;tablet;False;left;2024-03-20 10:52:31.232009649;2024-03-20 10:52:35.233078003;7;False;False;overtime;1970-01-01 00:00:04.000037670
8;8;speech;gesture;True;right;2024-03-20 10:52:39.895327806;2024-03-20 10:52:43.898016691;8;False;False;overtime;1970-01-01 00:00:04.000613451
9;9;speech;tablet;False;right;2024-03-20 10:52:48.560596228;2024-03-20 10:52:52.562155247;9;False;False;overtime;1970-01-01 00:00:04.000473022
10;10;speech;gesture;True;left;2024-03-20 10:52:57.227408886;2024-03-20 10:53:01.229301453;10;False;False;overtime;1970-01-01 00:00:04.000299692
11;11;speech;gesture;False;left;2024-03-20 10:53:05.910568953;2024-03-20 10:53:09.911868572;11;False;False;overtime;1970-01-01 00:00:04.000253201
12;12;tablet;gesture;True;left;2024-03-20 10:53:14.598110437;2024-03-20 10:53:18.599326611;12;False;False;overtime;1970-01-01 00:00:04.000137329
13;13;speech;gesture;False;left;2024-03-20 10:53:23.253174305;2024-03-20 10:53:27.255780458;13;False;False;overtime;1970-01-01 00:00:04.000826597
14;14;tablet;gesture;True;right;2024-03-20 10:53:31.940642834;2024-03-20 10:53:35.942132473;14;False;False;overtime;1970-01-01 00:00:04.000363827
15;15;speech;tablet;True;right;2024-03-20 10:53:40.617421865;2024-03-20 10:53:44.619209290;15;False;False;overtime;1970-01-01 00:00:04.000523090
16;16;speech;gesture;False;right;2024-03-20 10:53:49.336543083;2024-03-20 10:53:53.338350773;16;False;False;overtime;1970-01-01 00:00:04.000511408
17;17;speech;gesture;False;right;2024-03-20 10:53:58.009072304;2024-03-20 10:54:02.010852098;17;False;False;overtime;1970-01-01 00:00:04.000499486
18;18;tablet;gesture;False;left;2024-03-20 10:54:06.697772741;2024-03-20 10:54:10.699283361;18;False;False;overtime;1970-01-01 00:00:04.000259638
19;19;tablet;gesture;False;right;2024-03-20 10:54:15.383156538;2024-03-20 10:54:19.384827614;19;False;False;overtime;1970-01-01 00:00:04.000844717
20;20;tablet;gesture;False;right;2024-03-20 10:54:24.072388649;2024-03-20 10:54:28.074149847;20;False;False;overtime;1970-01-01 00:00:04.000757456
21;21;tablet;gesture;False;left;2024-03-20 10:54:32.755014896;2024-03-20 10:54:36.757193565;21;False;False;overtime;1970-01-01 00:00:04.001064301
22;22;tablet;gesture;True;left;2024-03-20 10:54:41.447109461;2024-03-20 10:54:45.448759079;22;False;False;overtime;1970-01-01 00:00:04.000654221
23;23;speech;tablet;False;right;2024-03-20 10:54:50.116461277;2024-03-20 10:54:54.118565798;23;False;False;overtime;1970-01-01 00:00:04.000445604
24;0;speech;tablet;False;right;2024-03-20 10:55:12.453248024;2024-03-20 10:55:16.455297709;0;False;False;overtime;1970-01-01 00:00:04.000568151
25;1;speech;tablet;False;left;2024-03-20 10:55:21.111661911;2024-03-20 10:55:25.113532305;1;False;False;overtime;1970-01-01 00:00:04.000501156
26;2;speech;tablet;True;right;2024-03-20 10:55:29.780827761;2024-03-20 10:55:33.782384872;2;False;False;overtime;1970-01-01 00:00:04.000191927
27;3;speech;tablet;True;left;2024-03-20 10:55:38.442188025;2024-03-20 10:55:42.443775654;3;False;False;overtime;1970-01-01 00:00:04.000177860
28;4;speech;gesture;True;right;2024-03-20 10:55:47.111568928;2024-03-20 10:55:51.114306211;4;False;False;overtime;1970-01-01 00:00:04.000983953
29;5;tablet;gesture;False;right;2024-03-20 10:55:55.791309118;2024-03-20 10:55:59.794106007;5;False;False;overtime;1970-01-01 00:00:04.000810146
30;6;speech;gesture;True;right;2024-03-20 10:56:04.461652279;2024-03-20 10:56:08.463441372;6;False;False;overtime;1970-01-01 00:00:04.000647783
31;7;tablet;gesture;False;right;2024-03-20 10:56:13.202862024;2024-03-20 10:56:17.233980179;7;False;False;overtime;1970-01-01 00:00:04.001135111
32;8;speech;tablet;False;right;2024-03-20 10:56:21.898542881;2024-03-20 10:56:25.900227547;8;False;False;overtime;1970-01-01 00:00:04.000872135
33;9;tablet;gesture;False;left;2024-03-20 10:56:30.589139223;2024-03-20 10:56:34.591028690;9;False;False;overtime;1970-01-01 00:00:04.000560522
34;10;speech;gesture;False;right;2024-03-20 10:56:39.253150225;2024-03-20 10:56:43.255361318;10;False;False;overtime;1970-01-01 00:00:04.000744343
35;11;speech;tablet;True;right;2024-03-20 10:56:47.921738148;2024-03-20 10:56:51.923429728;11;False;False;overtime;1970-01-01 00:00:04.000665903
36;12;speech;gesture;True;left;2024-03-20 10:56:56.596877098;2024-03-20 10:57:00.599900246;12;False;False;overtime;1970-01-01 00:00:04.001079559
37;13;speech;tablet;False;left;2024-03-20 10:57:05.262794495;2024-03-20 10:57:09.264058828;13;False;False;overtime;1970-01-01 00:00:04.000363827
38;14;speech;gesture;False;left;2024-03-20 10:57:13.933689594;2024-03-20 10:57:17.935689449;14;False;False;overtime;1970-01-01 00:00:04.001014233
39;15;tablet;gesture;False;left;2024-03-20 10:57:22.631391525;2024-03-20 10:57:26.633880138;15;False;False;overtime;1970-01-01 00:00:04.000945091
40;16;tablet;gesture;True;left;2024-03-20 10:57:31.336958647;2024-03-20 10:57:35.338967323;16;False;False;overtime;1970-01-01 00:00:04.000630379
41;17;tablet;gesture;True;left;2024-03-20 10:57:40.026902437;2024-03-20 10:57:44.027918577;17;False;False;overtime;1970-01-01 00:00:04.000353098
42;18;tablet;gesture;True;right;2024-03-20 10:57:48.715685606;2024-03-20 10:57:52.716882467;18;False;False;overtime;1970-01-01 00:00:04.000146389
43;19;speech;gesture;True;left;2024-03-20 10:57:57.389805555;2024-03-20 10:58:01.391398430;19;False;False;overtime;1970-01-01 00:00:04.000023127
44;20;tablet;gesture;True;right;2024-03-20 10:58:06.076572180;2024-03-20 10:58:10.079328537;20;False;False;overtime;1970-01-01 00:00:04.001132965
45;21;speech;gesture;False;left;2024-03-20 10:58:14.739173174;2024-03-20 10:58:18.741282463;21;False;False;overtime;1970-01-01 00:00:04.000197649
46;22;speech;gesture;False;right;2024-03-20 10:58:23.412030220;2024-03-20 10:58:27.413554907;22;False;False;overtime;1970-01-01 00:00:04.000102758
47;23;speech;tablet;True;left;2024-03-20 10:58:32.068309307;2024-03-20 10:58:36.070981741;23;False;False;overtime;1970-01-01 00:00:04.000596046
48;0;speech;tablet;True;left;2024-03-20 10:59:04.300280809;2024-03-20 10:59:08.303135157;0;False;False;overtime;1970-01-01 00:00:04.000726461
49;1;tablet;gesture;False;right;2024-03-20 10:59:12.993889332;2024-03-20 10:59:16.995873451;1;False;False;overtime;1970-01-01 00:00:04.000674009
50;2;tablet;gesture;True;right;2024-03-20 10:59:21.690660238;2024-03-20 10:59:25.692670345;2;False;False;overtime;1970-01-01 00:00:04.001035689
51;3;speech;tablet;True;left;2024-03-20 10:59:30.366462708;2024-03-20 10:59:34.368182421;3;False;False;overtime;1970-01-01 00:00:04.000551224
52;4;speech;tablet;True;right;2024-03-20 10:59:39.041502237;2024-03-20 10:59:43.044950247;4;False;False;overtime;1970-01-01 00:00:04.000070095
53;5;speech;gesture;False;left;2024-03-20 10:59:47.711881638;2024-03-20 10:59:51.715245008;5;False;False;overtime;1970-01-01 00:00:04.000681400
54;6;tablet;gesture;False;right;2024-03-20 10:59:56.393332243;2024-03-20 11:00:00.395235777;6;False;False;overtime;1970-01-01 00:00:04.000644922
55;7;speech;tablet;False;left;2024-03-20 11:00:05.063451289;2024-03-20 11:00:09.065729618;7;False;False;overtime;1970-01-01 00:00:04.001050949
56;8;tablet;gesture;True;left;2024-03-20 11:00:13.748800516;2024-03-20 11:00:17.750280380;8;False;False;overtime;1970-01-01 00:00:04.000128269
57;9;tablet;gesture;True;left;2024-03-20 11:00:22.459220171;2024-03-20 11:00:26.463316441;9;False;False;overtime;1970-01-01 00:00:04.001178741
58;10;speech;gesture;False;right;2024-03-20 11:00:31.127375840;2024-03-20 11:00:35.130047321;10;False;False;overtime;1970-01-01 00:00:04.000203609
59;11;speech;gesture;True;right;2024-03-20 11:00:39.795929432;2024-03-20 11:00:43.800156832;11;False;False;overtime;1970-01-01 00:00:04.000149012
60;12;speech;gesture;True;left;2024-03-20 11:00:48.456092358;2024-03-20 11:00:52.458262444;12;False;False;overtime;1970-01-01 00:00:04.000742674
61;13;speech;tablet;True;right;2024-03-20 11:00:57.119674206;2024-03-20 11:01:01.123215199;13;False;False;overtime;1970-01-01 00:00:04.001211643
62;14;speech;tablet;False;left;2024-03-20 11:01:05.779609680;2024-03-20 11:01:09.781482458;14;False;False;overtime;1970-01-01 00:00:04.000155687
63;15;speech;tablet;False;right;2024-03-20 11:01:14.450715542;2024-03-20 11:01:18.452572823;15;False;False;overtime;1970-01-01 00:00:04.001060724
64;16;speech;gesture;True;left;2024-03-20 11:01:23.115334988;2024-03-20 11:01:27.117221117;16;False;False;overtime;1970-01-01 00:00:04.000140667
65;17;tablet;gesture;False;left;2024-03-20 11:01:31.812430382;2024-03-20 11:01:35.814794540;17;False;False;overtime;1970-01-01 00:00:04.001043319
66;18;tablet;gesture;True;right;2024-03-20 11:01:40.513957262;2024-03-20 11:01:44.515798092;18;False;False;overtime;1970-01-01 00:00:04.000593662
67;19;speech;gesture;False;left;2024-03-20 11:01:49.177924633;2024-03-20 11:01:53.179559469;19;False;False;overtime;1970-01-01 00:00:04.000085354
68;20;speech;gesture;False;right;2024-03-20 11:01:57.848362923;2024-03-20 11:02:01.851345301;20;False;False;overtime;1970-01-01 00:00:04.000562906
69;21;speech;tablet;False;right;2024-03-20 11:02:06.520982742;2024-03-20 11:02:10.523168086;21;False;False;overtime;1970-01-01 00:00:04.000844717
70;22;tablet;gesture;False;left;2024-03-20 11:02:15.210406542;2024-03-20 11:02:19.211615086;22;False;False;overtime;1970-01-01 00:00:04.000233412
71;23;speech;gesture;True;right;2024-03-20 11:02:23.867704868;2024-03-20 11:02:27.870069981;23;False;False;overtime;1970-01-01 00:00:04.000560522
72;0;speech;tablet;False;left;2024-03-20 11:02:47.903658152;2024-03-20 11:02:51.905914545;0;False;False;overtime;1970-01-01 00:00:04.000483990
73;1;speech;gesture;False;right;2024-03-20 11:02:56.573491812;2024-03-20 11:03:00.575785875;1;False;False;overtime;1970-01-01 00:00:04.000656843
74;2;speech;tablet;True;left;2024-03-20 11:03:05.246724129;2024-03-20 11:03:09.248892069;2;False;False;overtime;1970-01-01 00:00:04.000894308
75;3;speech;gesture;True;left;2024-03-20 11:03:13.925476551;2024-03-20 11:03:17.928221703;3;False;False;overtime;1970-01-01 00:00:04.000875711
76;4;tablet;gesture;True;right;2024-03-20 11:03:22.625944853;2024-03-20 11:03:26.626953363;4;False;False;overtime;1970-01-01 00:00:04.000136375
77;5;tablet;gesture;False;right;2024-03-20 11:03:31.300560951;2024-03-20 11:03:35.302736282;5;False;False;overtime;1970-01-01 00:00:04.000567436
78;6;speech;tablet;True;right;2024-03-20 11:03:39.983691692;2024-03-20 11:03:43.987278938;6;False;False;overtime;1970-01-01 00:00:04.000834465
79;7;tablet;gesture;False;left;2024-03-20 11:03:48.671103716;2024-03-20 11:03:52.673171520;7;False;False;overtime;1970-01-01 00:00:04.000904799
80;8;tablet;gesture;True;left;2024-03-20 11:03:57.362490892;2024-03-20 11:04:01.363724232;8;False;False;overtime;1970-01-01 00:00:04.000120878
81;9;speech;gesture;False;left;2024-03-20 11:04:06.024181843;2024-03-20 11:04:10.027446985;9;False;False;overtime;1970-01-01 00:00:04.000730753
82;10;speech;tablet;True;left;2024-03-20 11:04:14.693263054;2024-03-20 11:04:18.695686340;10;False;False;overtime;1970-01-01 00:00:04.000577211
83;11;speech;gesture;False;left;2024-03-20 11:04:23.368782759;2024-03-20 11:04:27.370459795;11;False;False;overtime;1970-01-01 00:00:04.000176668
84;12;speech;gesture;False;right;2024-03-20 11:04:32.031183243;2024-03-20 11:04:36.032268047;12;False;False;overtime;1970-01-01 00:00:04.000113726
85;13;tablet;gesture;True;left;2024-03-20 11:04:40.730961323;2024-03-20 11:04:44.733554363;13;False;False;overtime;1970-01-01 00:00:04.000977516
86;14;speech;tablet;False;right;2024-03-20 11:04:49.391501427;2024-03-20 11:04:53.393147945;14;False;False;overtime;1970-01-01 00:00:04.000343561
87;15;speech;tablet;True;right;2024-03-20 11:04:58.060914516;2024-03-20 11:05:02.063340187;15;False;False;overtime;1970-01-01 00:00:04.001113892
88;16;speech;tablet;False;left;2024-03-20 11:05:06.758264303;2024-03-20 11:05:10.760025024;16;False;False;overtime;1970-01-01 00:00:04.000467539
89;17;speech;gesture;True;right;2024-03-20 11:05:15.432916164;2024-03-20 11:05:19.434807539;17;False;False;overtime;1970-01-01 00:00:04.000812054
90;18;tablet;gesture;False;right;2024-03-20 11:05:24.116357088;2024-03-20 11:05:28.118702888;18;False;False;overtime;1970-01-01 00:00:04.001082659
91;19;speech;gesture;True;left;2024-03-20 11:05:32.781993151;2024-03-20 11:05:36.784368992;19;False;False;overtime;1970-01-01 00:00:04.000906467
92;20;tablet;gesture;False;left;2024-03-20 11:05:41.495004654;2024-03-20 11:05:45.497499228;20;False;False;overtime;1970-01-01 00:00:04.001215219
93;21;speech;gesture;True;right;2024-03-20 11:05:50.175421953;2024-03-20 11:05:54.177772999;21;False;False;overtime;1970-01-01 00:00:04.000705957
94;22;speech;tablet;False;right;2024-03-20 11:05:58.838712215;2024-03-20 11:06:02.841536760;22;False;False;overtime;1970-01-01 00:00:04.000954866
95;23;tablet;gesture;True;right;2024-03-20 11:06:07.526509047;2024-03-20 11:06:11.527898788;23;False;False;overtime;1970-01-01 00:00:04.000443459
96;0;speech;tablet;True;left;2024-03-20 11:06:33.590675354;2024-03-20 11:06:37.592662334;0;False;False;overtime;1970-01-01 00:00:04.001018524
97;1;speech;gesture;False;left;2024-03-20 11:06:42.264113188;2024-03-20 11:06:46.269739151;1;False;False;overtime;1970-01-01 00:00:04.001118422
98;2;tablet;gesture;False;left;2024-03-20 11:06:50.972009897;2024-03-20 11:06:54.974485397;2;False;False;overtime;1970-01-01 00:00:04.000907421
99;3;tablet;gesture;True;left;2024-03-20 11:06:59.663384676;2024-03-20 11:07:03.665701151;3;False;False;overtime;1970-01-01 00:00:04.000899792
100;4;speech;tablet;False;right;2024-03-20 11:07:08.322888374;2024-03-20 11:07:12.325241327;4;False;False;overtime;1970-01-01 00:00:04.001010656
101;5;speech;tablet;True;right;2024-03-20 11:07:16.990501642;2024-03-20 11:07:20.992383003;5;False;False;overtime;1970-01-01 00:00:04.000625372
102;6;tablet;gesture;True;right;2024-03-20 11:07:25.675461769;2024-03-20 11:07:29.677311659;6;False;False;overtime;1970-01-01 00:00:04.000813961
103;7;speech;tablet;False;left;2024-03-20 11:07:34.359860897;2024-03-20 11:07:38.362962008;7;False;False;overtime;1970-01-01 00:00:04.000807762
104;8;speech;tablet;True;left;2024-03-20 11:07:43.018820763;2024-03-20 11:07:47.020264387;8;False;False;overtime;1970-01-01 00:00:04.000762939
105;9;speech;gesture;True;right;2024-03-20 11:07:51.684988499;2024-03-20 11:07:55.687978506;9;False;False;overtime;1970-01-01 00:00:04.000592947
106;10;speech;tablet;False;left;2024-03-20 11:08:00.362145901;2024-03-20 11:08:04.363314390;10;False;False;overtime;1970-01-01 00:00:04.000052452
107;11;speech;gesture;True;left;2024-03-20 11:08:09.029052973;2024-03-20 11:08:13.031824827;11;False;False;overtime;1970-01-01 00:00:04.001058578
108;12;speech;tablet;True;right;2024-03-20 11:08:17.704446316;2024-03-20 11:08:21.705854177;12;False;False;overtime;1970-01-01 00:00:04.000172138
109;13;tablet;gesture;True;left;2024-03-20 11:08:26.390028715;2024-03-20 11:08:30.391491175;13;False;False;overtime;1970-01-01 00:00:04.000193596
110;14;speech;gesture;False;right;2024-03-20 11:08:35.045727015;2024-03-20 11:08:39.047355890;14;False;False;overtime;1970-01-01 00:00:04.000288963
111;15;tablet;gesture;True;right;2024-03-20 11:08:43.742011070;2024-03-20 11:08:47.743570328;15;False;False;overtime;1970-01-01 00:00:04.000496626
112;16;tablet;gesture;False;right;2024-03-20 11:08:52.430793285;2024-03-20 11:08:56.431604385;16;False;False;overtime;1970-01-01 00:00:04.000092030
113;17;tablet;gesture;False;left;2024-03-20 11:09:01.121967316;2024-03-20 11:09:05.123199463;17;False;False;overtime;1970-01-01 00:00:04.000279188
114;18;speech;gesture;True;right;2024-03-20 11:09:09.787236929;2024-03-20 11:09:13.789597273;18;False;False;overtime;1970-01-01 00:00:04.000900030
115;19;speech;gesture;False;right;2024-03-20 11:09:18.453378677;2024-03-20 11:09:22.455519915;19;False;False;overtime;1970-01-01 00:00:04.001010894
116;20;tablet;gesture;False;right;2024-03-20 11:09:27.147603512;2024-03-20 11:09:31.148805618;20;False;False;overtime;1970-01-01 00:00:04.000096798
117;21;speech;gesture;False;left;2024-03-20 11:09:35.832855463;2024-03-20 11:09:39.835197449;21;False;False;overtime;1970-01-01 00:00:04.000864744
118;22;speech;tablet;False;right;2024-03-20 11:09:44.496668339;2024-03-20 11:09:48.499071836;22;False;False;overtime;1970-01-01 00:00:04.001142263
119;23;speech;gesture;True;left;2024-03-20 11:09:53.161776066;2024-03-20 11:09:57.163225651;23;False;False;overtime;1970-01-01 00:00:04.000208378
